yearstart,yearend,locationabbr,datasource,question,datavalueunit,datavaluetype,datavalue,stratificationcategory1,stratification1,:@computed_region_skr5_azej,:@computed_region_hjsp_umg2
2019,2019,AK,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,70.0,Overall,Overall,1673.0,51.0
2019,2019,DC,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,25.0,Sex,Female,1049.0,44.0
2019,2019,GU,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,2.9,Sex,Female,,
2019,2019,MS,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,10.3,Sex,Female,494.0,32.0
2019,2019,UT,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,3.1,Race/Ethnicity,Hispanic,900.0,13.0
2019,2019,UT,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,24.1,Race/Ethnicity,"White, non-Hispanic",900.0,13.0
2020,2020,DE,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,4.8,Sex,Female,1046.0,43.0
2020,2020,MA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.3,Age,Age 45-64,1919.0,25.0
2020,2020,PR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.0,Race/Ethnicity,Hispanic,3050.0,
2020,2020,RI,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,37.2,Sex,Male,2658.0,27.0
2020,2020,WI,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,37.5,Sex,Female,3078.0,41.0
2021,2021,AZ,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,27.3,Sex,Male,986.0,7.0
2021,2021,DE,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,22.9,Age,Age >=65,1046.0,43.0
2021,2021,ID,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.8,Sex,Female,1687.0,5.0
2021,2021,MS,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,7.6,Sex,Male,494.0,32.0
2021,2021,NE,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,11.6,Age,Age >=65,2243.0,19.0
2021,2021,NJ,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.7,Sex,Male,489.0,46.0
2021,2021,NY,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.0,Sex,Male,2092.0,47.0
2022,2022,RI,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.8,Overall,Overall,2658.0,27.0
2022,2022,WY,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.9,Overall,Overall,3084.0,14.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,58.19,Race/Ethnicity,Hispanic,986.0,7.0
2019,2019,AR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.5,Age,Age 18-44,998.0,15.0
2019,2019,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,3.9,Sex,Male,1340.0,8.0
2019,2019,CA,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,18.0,Sex,Female,1340.0,8.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,13.54,Sex,Male,94.0,29.0
2019,2019,AK,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,39.1,Sex,Female,1673.0,51.0
2019,2019,AR,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,40.9,Race/Ethnicity,"Black, non-Hispanic",998.0,15.0
2019,2019,AK,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,59.3,Sex,Female,1673.0,51.0
2019,2019,AZ,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,39.8,Race/Ethnicity,Hispanic,986.0,7.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,242.4,Age,Age >=65,986.0,7.0
2019,2019,AR,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,93.77,Race/Ethnicity,"Black, non-Hispanic",998.0,15.0
2019,2019,AL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,7.0,Race/Ethnicity,"Black, non-Hispanic",94.0,29.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,79.9,Sex,Female,1340.0,8.0
2019,2019,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,10.0,Age,Age >=65,1340.0,8.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,33.41,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",986.0,7.0
2019,2019,CA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,151.02,Race/Ethnicity,"Black, non-Hispanic",1340.0,8.0
2019,2019,AR,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,308.1,Overall,Overall,998.0,15.0
2019,2019,AR,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,167.1,Overall,Overall,998.0,15.0
2019,2019,AL,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,40.3,Sex,Female,94.0,29.0
2019,2019,AZ,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.3,Sex,Male,986.0,7.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,71.89,Overall,Overall,986.0,7.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,112.6,Sex,Male,986.0,7.0
2019,2019,AK,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,37.33,Overall,Overall,1673.0,51.0
2019,2019,AR,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,8.77,Race/Ethnicity,"White, non-Hispanic",998.0,15.0
2019,2019,AL,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,46.9,Age,Age 45-64,94.0,29.0
2019,2019,CA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,6.28,Sex,Male,1340.0,8.0
2019,2019,AL,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,307.2,Race/Ethnicity,"White, non-Hispanic",94.0,29.0
2019,2019,CA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,5.61,Race/Ethnicity,Hispanic,1340.0,8.0
2019,2019,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,3.7,Race/Ethnicity,"Black, non-Hispanic",1340.0,8.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,5.98,Race/Ethnicity,"White, non-Hispanic",986.0,7.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,75.03,Race/Ethnicity,"White, non-Hispanic",986.0,7.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,79.7,Overall,Overall,1340.0,8.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,65.0,Race/Ethnicity,"Black, non-Hispanic",986.0,7.0
2019,2019,AL,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,162.2,Overall,Overall,94.0,29.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,15.49,Sex,Female,94.0,29.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,136.5,Sex,Female,1340.0,8.0
2019,2019,AK,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,353.8,Age,Age >=65,1673.0,51.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,142.42,Race/Ethnicity,"Black, non-Hispanic",94.0,29.0
2019,2019,AR,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,45.5,Sex,Female,998.0,15.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,6.39,Sex,Female,986.0,7.0
2019,2019,CA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,49.69,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",1340.0,8.0
2019,2019,CA,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,32.9,Age,Age 45-64,1340.0,8.0
2019,2019,CA,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,22.6,Overall,Overall,1340.0,8.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,124.78,Race/Ethnicity,"White, non-Hispanic",94.0,29.0
2019,2019,CA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,7.36,Sex,Female,1340.0,8.0
2019,2019,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,3.0,Race/Ethnicity,"Asian, non-Hispanic",1340.0,8.0
2019,2019,AR,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,8.47,Overall,Overall,998.0,15.0
2019,2019,CA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,60.86,Race/Ethnicity,Hispanic,1340.0,8.0
2019,2019,AR,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,172.9,Race/Ethnicity,"Black, non-Hispanic",998.0,15.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,123.49,Overall,Overall,94.0,29.0
2019,2019,AL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,17.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",94.0,29.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,98.1,Sex,Female,986.0,7.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,116.9,Overall,Overall,986.0,7.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,103.7,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1340.0,8.0
2019,2019,AR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,8.8,Race/Ethnicity,"Black, non-Hispanic",998.0,15.0
2019,2019,AK,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,13.0,Age,Age >=65,1673.0,51.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,2.35,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",986.0,7.0
2019,2019,AR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,11.7,Sex,Female,998.0,15.0
2019,2019,AL,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,79.4,Age,Age 45-64,94.0,29.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,6.81,Sex,Female,986.0,7.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,86.5,Race/Ethnicity,"Multiracial, non-Hispanic",986.0,7.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,194.7,Sex,Male,1340.0,8.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,105.4,Race/Ethnicity,"Multiracial, non-Hispanic",986.0,7.0
2019,2019,AK,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,151.1,Overall,Overall,1673.0,51.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,127.9,Race/Ethnicity,"White, non-Hispanic",1340.0,8.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,39.5,Race/Ethnicity,"Asian, non-Hispanic",986.0,7.0
2019,2019,CA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,110.38,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1340.0,8.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,72.29,Sex,Male,986.0,7.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,257.2,Race/Ethnicity,"White, non-Hispanic",1340.0,8.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,215.5,Race/Ethnicity,"White, non-Hispanic",1340.0,8.0
2019,2019,AR,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,301.4,Sex,Female,998.0,15.0
2019,2019,AK,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.1,Race/Ethnicity,"White, non-Hispanic",1673.0,51.0
2019,2019,AR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,14.6,Age,Age 45-64,998.0,15.0
2019,2019,AK,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,22.43,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",1673.0,51.0
2019,2019,AR,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,51.4,Race/Ethnicity,"White, non-Hispanic",998.0,15.0
2019,2019,AK,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,2.9,Race/Ethnicity,"White, non-Hispanic",1673.0,51.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,222.53,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",94.0,29.0
2019,2019,AR,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,7.33,Sex,Male,998.0,15.0
2019,2019,AR,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,97.13,Sex,Male,998.0,15.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,5.73,Overall,Overall,986.0,7.0
2019,2019,AL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,11.4,Age,Age 45-64,94.0,29.0
2019,2019,AL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,8.2,Sex,Male,94.0,29.0
2019,2019,AK,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,150.0,Sex,Male,1673.0,51.0
2019,2019,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,4.2,Overall,Overall,1340.0,8.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,204.4,Race/Ethnicity,"Black, non-Hispanic",1340.0,8.0
2019,2019,AL,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,206.5,Sex,Female,94.0,29.0
2019,2019,AR,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,59.6,Age,Age 18-44,998.0,15.0
2019,2019,AL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,11.0,Race/Ethnicity,"White, non-Hispanic",94.0,29.0
2019,2019,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,3.6,Race/Ethnicity,Hispanic,1340.0,8.0
2019,2019,AR,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,93.72,Race/Ethnicity,"White, non-Hispanic",998.0,15.0
2019,2019,AK,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,35.59,Sex,Male,1673.0,51.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,200.3,Race/Ethnicity,"White, non-Hispanic",986.0,7.0
2019,2019,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.9,Race/Ethnicity,"White, non-Hispanic",1340.0,8.0
2019,2019,CA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,81.91,Overall,Overall,1340.0,8.0
2019,2019,AK,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,147.2,Race/Ethnicity,"White, non-Hispanic",1673.0,51.0
2019,2019,AK,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,4.8,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1673.0,51.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,16.45,Race/Ethnicity,"Black, non-Hispanic",94.0,29.0
2019,2019,AK,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,21.3,Age,Age 45-64,1673.0,51.0
2019,2019,AK,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.5,Sex,Male,1673.0,51.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,164.4,Race/Ethnicity,"Black, non-Hispanic",986.0,7.0
2019,2019,AR,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,30.37,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",998.0,15.0
2019,2019,AZ,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,6.0,Overall,Overall,986.0,7.0
2019,2019,AR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,8.6,Race/Ethnicity,"Black, non-Hispanic",998.0,15.0
2019,2019,AZ,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,35.7,Overall,Overall,986.0,7.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,14.6,Overall,Overall,94.0,29.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,33.37,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",94.0,29.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,104.8,Overall,Overall,986.0,7.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,103.35,Race/Ethnicity,"Black, non-Hispanic",986.0,7.0
2019,2019,AK,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,82.6,Sex,Female,1673.0,51.0
2019,2019,AZ,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,35.5,Sex,Female,986.0,7.0
2019,2019,AR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,10.8,Sex,Female,998.0,15.0
2019,2019,AL,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,154.1,Sex,Female,94.0,29.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,13.0,Age,Age 45-64,1340.0,8.0
2019,2019,AZ,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,47.1,Age,Age 45-64,986.0,7.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,184.3,Sex,Female,986.0,7.0
2019,2019,AR,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,184.4,Sex,Male,998.0,15.0
2019,2019,AZ,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,120.0,Sex,Male,986.0,7.0
2019,2019,AZ,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,78.52,Overall,Overall,986.0,7.0
2019,2019,AR,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,87.61,Race/Ethnicity,"Black, non-Hispanic",998.0,15.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,90.3,Race/Ethnicity,"Black, non-Hispanic",1340.0,8.0
2019,2019,AK,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.6,Sex,Female,1673.0,51.0
2019,2019,AL,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,84.8,Race/Ethnicity,"Black, non-Hispanic",94.0,29.0
2019,2019,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,3.9,Sex,Male,1340.0,8.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,103.6,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",1340.0,8.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,39.6,Race/Ethnicity,Hispanic,1340.0,8.0
2019,2019,CA,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,15.56,Race/Ethnicity,"Black, non-Hispanic",1340.0,8.0
2019,2019,AK,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,54.4,Overall,Overall,1673.0,51.0
2019,2019,CA,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,59.7,Race/Ethnicity,"Asian, non-Hispanic",1340.0,8.0
2019,2019,AL,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,27.17,Race/Ethnicity,Hispanic,94.0,29.0
