yearstart,yearend,locationabbr,datasource,question,datavalueunit,datavaluetype,datavalue,stratificationcategory1,stratification1,:@computed_region_skr5_azej,:@computed_region_hjsp_umg2
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,22.6,Race/Ethnicity,Hispanic,3078.0,41.0
2021,2021,WY,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,34.78,Sex,Male,3084.0,14.0
2022,2022,HI,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,2.4,Race/Ethnicity,"Asian, non-Hispanic",1657.0,4.0
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,193.0,Age,Age >=65,3078.0,41.0
2022,2022,FL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.5,Race/Ethnicity,"Black, non-Hispanic",1112.0,30.0
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,325.8,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",3078.0,41.0
2021,2021,WI,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.6,Overall,Overall,3078.0,41.0
2021,2021,WI,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,69.14,Race/Ethnicity,Hispanic,3078.0,41.0
2022,2022,AR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,15.6,Age,Age >=65,998.0,15.0
2022,2022,CT,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.8,Overall,Overall,1043.0,24.0
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,210.6,Sex,Female,3078.0,41.0
2022,2022,AZ,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.7,Overall,Overall,986.0,7.0
2021,2021,WI,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,116.15,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",3078.0,41.0
2022,2022,CO,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,4.9,Overall,Overall,1398.0,9.0
2022,2022,AK,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.9,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1673.0,51.0
2022,2022,DC,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,3.8,Overall,Overall,1049.0,44.0
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,62.0,Age,Age 45-64,3078.0,41.0
2021,2021,WY,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,136.0,Sex,Male,3084.0,14.0
2021,2021,WI,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,4.22,Sex,Female,3078.0,41.0
2022,2022,CO,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.9,Sex,Male,1398.0,9.0
2021,2021,WY,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,52.2,Age,Age 45-64,3084.0,14.0
2022,2022,AZ,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.5,Sex,Male,986.0,7.0
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,109.6,Race/Ethnicity,"Black, non-Hispanic",3078.0,41.0
2021,2021,WI,BRFSS,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,36.8,Overall,Overall,3078.0,41.0
2022,2022,AK,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.9,Sex,Male,1673.0,51.0
2022,2022,FL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.9,Sex,Male,1112.0,30.0
2021,2021,WY,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,345.4,Sex,Female,3084.0,14.0
2022,2022,AR,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,7.6,Sex,Male,998.0,15.0
2022,2022,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.2,Sex,Male,1340.0,8.0
